Question;Answer 1;Answer 2;CA 1;CA 2;CA 3;CA 4;CA 5;Level;Category;Confirmed;Photo Id;Photo Url
Which team plays in this stadium?;Rangers;Chelsea;Rangers;.;.;.;.;Medium;Find The Stadium;TRUE;stadium25_agwlzp;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688440/Questions/Find%20The%20Stadium/stadium25_agwlzp.png
Which team plays in this stadium?;Rapid Wien;Real Betis;Real Betis;.;.;.;.;Medium;Find The Stadium;TRUE;stadium26_casa9s;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687989/Questions/Find%20The%20Stadium/stadium26_casa9s.png
Which team plays in this stadium?;Real Sociedad;Deportivo Alaves;Real Sociedad;.;.;.;.;Medium;Find The Stadium;TRUE;stadium27_qs1h2m;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687990/Questions/Find%20The%20Stadium/stadium27_qs1h2m.png
Which team plays in this stadium?;Salzburg ;Leipzig;Leipzig;.;.;.;.;Medium;Find The Stadium;TRUE;stadium28_qxajbn;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687989/Questions/Find%20The%20Stadium/stadium28_qxajbn.jpg
Which team plays in this stadium?;Red Star;Red Star;Red Star;.;.;.;.;Medium;Find The Stadium;TRUE;stadium29_gh4trp;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688042/Questions/Find%20The%20Stadium/stadium29_gh4trp.png
Which team plays in this stadium?;Red Star;River Plate;River Plate;.;.;.;.;Medium;Find The Stadium;TRUE;stadium30_tsdxbk;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687989/Questions/Find%20The%20Stadium/stadium30_tsdxbk.webp
Which team plays in this stadium?;Sasssuolo;Atalanta;Sasssuolo;.;.;.;.;Medium;Find The Stadium;TRUE;stadium31_n9d0be;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687989/Questions/Find%20The%20Stadium/stadium31_n9d0be.jpg
Which team plays in this stadium?;Almeria;Sevilla;Sevilla;.;.;.;.;Medium;Find The Stadium;TRUE;stadium32_nkw0yv;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688033/Questions/Find%20The%20Stadium/stadium32_nkw0yv.png
Which team plays in this stadium?;Tottenham;West Ham;Tottenham;.;.;.;.;Medium;Find The Stadium;TRUE;stadium33_iorn0z;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687990/Questions/Find%20The%20Stadium/stadium33_iorn0z.jpg
Guess the manager;;Adre Vilas Boas;Adre Vilas Boas;.;.;.;.;Medium;Manager id;TRUE;manager1_bdl8fy;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691054/Questions/Manager%20Id/manager1_bdl8fy.png
Guess the manager;Ange Postecoglou;;Ange Postecoglou;.;.;.;.;Medium;Manager id;TRUE;manager2_jgyzst;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691055/Questions/Manager%20Id/manager2_jgyzst.png
Guess the manager;;Antonio Conte;Antonio Conte;.;.;.;.;Medium;Manager id;TRUE;manager3_qbtono;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691055/Questions/Manager%20Id/manager3_qbtono.png
Guess the manager;Babis Tennes;;Babis Tennes;.;.;.;.;Medium;Manager id;TRUE;manager4_vviccn;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691056/Questions/Manager%20Id/manager4_vviccn.png
Guess the manager;;Carlo Ancelotti;Carlo Ancelotti;.;.;.;.;Medium;Manager id;TRUE;manager5_ysibgb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691057/Questions/Manager%20Id/manager5_ysibgb.png
Guess the manager;Claudio Ranieri;;Claudio Ranieri;.;.;.;.;Medium;Manager id;TRUE;manager6_m737ee;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691057/Questions/Manager%20Id/manager6_m737ee.png
Guess the manager;;David Moyes;David Moyes;.;.;.;.;Medium;Manager id;TRUE;manager7_dwntgs;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691058/Questions/Manager%20Id/manager7_dwntgs.png
Guess the manager;Fabio Capello;;Fabio Capello;.;.;.;.;Medium;Manager id;TRUE;manager8_xkmdsx;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691059/Questions/Manager%20Id/manager8_xkmdsx.png
Guess the manager;;Fernando Santos;Fernando Santos;.;.;.;.;Medium;Manager id;TRUE;manager9_ufpjz6;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691059/Questions/Manager%20Id/manager9_ufpjz6.png
Guess the manager;Gennaro Gattuso;;Gennaro Gattuso;.;.;.;.;Medium;Manager id;TRUE;manager10_oghynb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691060/Questions/Manager%20Id/manager10_oghynb.png
Guess the manager;;Jorge Jesus;Jorge Jesus;.;.;.;.;Medium;Manager id;TRUE;manager11_x5lahb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691061/Questions/Manager%20Id/manager11_x5lahb.png
Guess the manager;Jose Luis Mendilibar;;Jose Luis Mendilibar;.;.;.;.;Medium;Manager id;TRUE;manager12_yefgu4;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691061/Questions/Manager%20Id/manager12_yefgu4.png
Guess the manager;;Jose Mourinho;Jose Mourinho;.;.;.;.;Medium;Manager id;TRUE;manager13_m8kqsy;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691062/Questions/Manager%20Id/manager13_m8kqsy.png
Guess the manager;Jupp Heynckes;;Jupp Heynckes;.;.;.;.;Medium;Manager id;TRUE;manager14_cfsszu;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691062/Questions/Manager%20Id/manager14_cfsszu.png
Guess the manager;;Kenny Dalglish;Kenny Dalglish;.;.;.;.;Medium;Manager id;TRUE;manager15_sp7xgr;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691064/Questions/Manager%20Id/manager15_sp7xgr.png
Guess the manager;Kompany;;Kompany;.;.;.;.;Medium;Manager id;TRUE;manager16_k3v2jd;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691064/Questions/Manager%20Id/manager16_k3v2jd.png
Guess the manager;;Takis Lemonis;Takis Lemonis;.;.;.;.;Medium;Manager id;TRUE;manager17_gqzyum;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691064/Questions/Manager%20Id/manager17_gqzyum.png
Guess the manager;Luciano Spalletti;;Luciano Spalletti;.;.;.;.;Medium;Manager id;TRUE;manager18_yxqotk;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691065/Questions/Manager%20Id/manager18_yxqotk.png
Guess the manager;;Luis Enrique;Luis Enrique;.;.;.;.;Medium;Manager id;TRUE;manager19_ugykl2;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691067/Questions/Manager%20Id/manager19_ugykl2.png
Guess the manager;Manuel Pellegrini;;Manuel Pellegrini;.;.;.;.;Medium;Manager id;TRUE;manager20_rafd7w;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691048/Questions/Manager%20Id/manager20_rafd7w.png
Guess the manager;;Marcelo Bielsa;Marcelo Bielsa;.;.;.;.;Medium;Manager id;TRUE;manager21_aabovk;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691048/Questions/Manager%20Id/manager21_aabovk.png
Guess the manager;Massimiliano Allegri;;Massimiliano Allegri;.;.;.;.;Medium;Manager id;TRUE;manager22_stf95z;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691048/Questions/Manager%20Id/manager22_stf95z.png
Guess the manager;;Mauricio Pochettino;Mauricio Pochettino;.;.;.;.;Medium;Manager id;TRUE;manager23_hlkvix;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691048/Questions/Manager%20Id/manager23_hlkvix.png
Guess the manager;Michel;;Michel;.;.;.;.;Medium;Manager id;TRUE;manager24_rxjxcj;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691048/Questions/Manager%20Id/manager24_rxjxcj.png
Guess the manager;;Mircea Lucescu;Mircea Lucescu;.;.;.;.;Medium;Manager id;TRUE;manager25_ixrcid;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691048/Questions/Manager%20Id/manager25_ixrcid.png
Guess the manager;Otto Rehhagel;;Otto Rehhagel;.;.;.;.;Medium;Manager id;TRUE;manager26_lrxi8v;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691048/Questions/Manager%20Id/manager26_lrxi8v.png
Guess the manager;;Rafael Benitez;Rafael Benitez;.;.;.;.;Medium;Manager id;TRUE;manager27_c0begs;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691050/Questions/Manager%20Id/manager27_c0begs.png
Guess the manager;Roberto De Zebri;;Roberto De Zebri;.;.;.;.;Medium;Manager id;TRUE;manager28_w4zyev;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691050/Questions/Manager%20Id/manager28_w4zyev.png
Guess the manager;;Roberto Mancini;Roberto Mancini;.;.;.;.;Medium;Manager id;TRUE;manager29_pu2dpd;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691050/Questions/Manager%20Id/manager29_pu2dpd.png
Guess the manager;Ronald Koeman;;Ronald Koeman;.;.;.;.;Medium;Manager id;TRUE;manager30_b808t4;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691050/Questions/Manager%20Id/manager30_b808t4.png
Guess the manager;;Sarri;Sarri;.;.;.;.;Medium;Manager id;TRUE;manager31_lpxwq9;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691051/Questions/Manager%20Id/manager31_lpxwq9.png
Guess the manager;Thiago Motta;;Thiago Motta;.;.;.;.;Medium;Manager id;TRUE;manager32_bz8mzh;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691052/Questions/Manager%20Id/manager32_bz8mzh.png
Guess the manager;;Unai Emery;Unai Emery;.;.;.;.;Medium;Manager id;TRUE;manager33_zjiwiv;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691053/Questions/Manager%20Id/manager33_zjiwiv.png
Guess the manager;Van Gaal;;Van Gaal;.;.;.;.;Medium;Manager id;TRUE;manager34_qhb2oh;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691053/Questions/Manager%20Id/manager34_qhb2oh.png
Guess the manager;;Vicenzo Italiano;Vicenzo Italiano;.;.;.;.;Medium;Manager id;TRUE;manager35_en0zmu;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724691053/Questions/Manager%20Id/manager35_en0zmu.png
Guess the player;Andy Carroll;;Andy Carroll;.;.;.;.;Medium;Player id;TRUE;player1_pvzn9p;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692782/Questions/Player%20Id/player1_pvzn9p.png
Guess the player;;Artem Dovbyk;Artem Dovbyk;.;.;.;.;Medium;Player id;TRUE;player2_ryrkvf;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692785/Questions/Player%20Id/player2_ryrkvf.png
Guess the player;Cesc Fabragas;;Cesc Fabragas;.;.;.;.;Medium;Player id;TRUE;player3_cpzstv;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692786/Questions/Player%20Id/player3_cpzstv.png
Guess the player;;Claudio Bravo;Claudio Bravo;.;.;.;.;Medium;Player id;TRUE;player4_suxwpw;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692747/Questions/Player%20Id/player4_suxwpw.png
Guess the player;Daley Blind;;Daley Blind;.;.;.;.;Medium;Player id;TRUE;player5_wytpj7;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692747/Questions/Player%20Id/player5_wytpj7.png
Guess the player;;David Luiz;David Luiz;.;.;.;.;Medium;Player id;TRUE;player6_cjaxvj;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692747/Questions/Player%20Id/player6_cjaxvj.png
Guess the player;Diego Costa;;Diego Costa;.;.;.;.;Medium;Player id;TRUE;player7_m8p5xs;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692747/Questions/Player%20Id/player7_m8p5xs.png
Guess the player;;Edin Dzeko;Edin Dzeko;.;.;.;.;Medium;Player id;TRUE;player8_ely8qd;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692748/Questions/Player%20Id/player8_ely8qd.png
Guess the player;Emmanuel Adebayor;;Emmanuel Adebayor;.;.;.;.;Medium;Player id;TRUE;player9_vn23vm;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692749/Questions/Player%20Id/player9_vn23vm.png
Guess the player;;Emre Can;Emre Can;.;.;.;.;Medium;Player id;TRUE;player10_ya1alh;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692749/Questions/Player%20Id/player10_ya1alh.png
Guess the player;Erik Lamela;;Erik Lamela;.;.;.;.;Medium;Player id;TRUE;player11_rarfee;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692750/Questions/Player%20Id/player11_rarfee.png
Guess the player;;Fabio Coentrao;Fabio Coentrao;.;.;.;.;Medium;Player id;TRUE;player12_kocxmb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692751/Questions/Player%20Id/player12_kocxmb.png
Guess the player;Francois Modesto;;Francois Modesto;.;.;.;.;Medium;Player id;TRUE;player13_n67fq5;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692753/Questions/Player%20Id/player13_n67fq5.png
Guess the player;;David Fuster;David Fuster;.;.;.;.;Medium;Player id;TRUE;player14_xzdsi3;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692752/Questions/Player%20Id/player14_xzdsi3.png
Guess the player;Hakan Calhanoglu;;Hakan Calhanoglu;.;.;.;.;Medium;Player id;TRUE;player15_kbrgqd;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692754/Questions/Player%20Id/player15_kbrgqd.png
Guess the player;;Hector Bellerin;Hector Bellerin;.;.;.;.;Medium;Player id;TRUE;player16_uisc2u;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692754/Questions/Player%20Id/player16_uisc2u.png
Guess the player;Kingsley Coman;;Kingsley Coman;.;.;.;.;Medium;Player id;TRUE;player17_s2ng3f;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692756/Questions/Player%20Id/player17_s2ng3f.png
Guess the player;;Leonardo Bonucci;Leonardo Bonucci;.;.;.;.;Medium;Player id;TRUE;player18_u8gudh;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692757/Questions/Player%20Id/player18_u8gudh.png
Guess the player;Lucas Hernandez;;Lucas Hernandez;.;.;.;.;Medium;Player id;TRUE;player19_vhpsjh;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692758/Questions/Player%20Id/player19_vhpsjh.png
Guess the player;;Kucas Moura;Kucas Moura;.;.;.;.;Medium;Player id;TRUE;player20_up8r3y;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692760/Questions/Player%20Id/player20_up8r3y.png
Guess the player;Lucas Paqueta;;Lucas Paqueta;.;.;.;.;Medium;Player id;TRUE;player21_kkrkmt;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692761/Questions/Player%20Id/player21_kkrkmt.png
Guess the player;;Lukasz Fabianski;Lukasz Fabianski;.;.;.;.;Medium;Player id;TRUE;player22_yeubtt;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692762/Questions/Player%20Id/player22_yeubtt.png
Guess the player;Marc Bartra;;Marc Bartra;.;.;.;.;Medium;Player id;TRUE;player23_zz8fzq;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692764/Questions/Player%20Id/player23_zz8fzq.png
Guess the player;;Marco Asensio;Marco Asensio;.;.;.;.;Medium;Player id;TRUE;player24_uewlbp;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692766/Questions/Player%20Id/player24_uewlbp.png
Guess the player;Mateo Kovacic;;Mateo Kovacic;.;.;.;.;Medium;Player id;TRUE;player25_wirjzb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692767/Questions/Player%20Id/player25_wirjzb.png
Guess the player;;Matt Derbyshire;Matt Derbyshire;.;.;.;.;Medium;Player id;TRUE;player26_wu9tp5;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692768/Questions/Player%20Id/player26_wu9tp5.png
Guess the player;Mauro Icardi;;Mauro Icardi;.;.;.;.;Medium;Player id;TRUE;player27_l6cc2p;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692770/Questions/Player%20Id/player27_l6cc2p.png
Guess the player;;Michael Essien;Michael Essien;.;.;.;.;Medium;Player id;TRUE;player28_p7dusl;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692771/Questions/Player%20Id/player28_p7dusl.png
Guess the player;Nabil Fekir;;Nabil Fekir;.;.;.;.;Medium;Player id;TRUE;player29_oowhbr;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692777/Questions/Player%20Id/player29_oowhbr.png
Guess the player;;Nasri;Nasri;.;.;.;.;Medium;Player id;TRUE;player30_jmdyxm;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692777/Questions/Player%20Id/player30_jmdyxm.png
Guess the player;Pep Guardiola;;Pep Guardiola;.;.;.;.;Medium;Player id;TRUE;player31_z6etan;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692778/Questions/Player%20Id/player31_z6etan.png
Guess the player;;Ramires;Ramires;.;.;.;.;Medium;Player id;TRUE;player32_ppl9ui;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692780/Questions/Player%20Id/player32_ppl9ui.png
Guess the player;Sebastien Haller;;Sebastien Haller;.;.;.;.;Medium;Player id;TRUE;player33_ph1133;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692781/Questions/Player%20Id/player33_ph1133.png
Guess the player;;Sidney Govou;Sidney Govou;.;.;.;.;Medium;Player id;TRUE;player34_yxdtjw;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724692781/Questions/Player%20Id/player34_yxdtjw.png
How many Super League titles has Aris won?;3;2;3;.;.;.;.;Easy;History;TRUE;;
How many Super League titles has Pao won?;21;20;20;.;.;.;.;Easy;History;TRUE;;
When was the first time Greece participated in World Cup?(ex. 2023-2024);1993-1994;1989-1990;1993-1994;.;.;.;.;Easy;History;TRUE;;
When did Panathinaikos played against Ajax in Champions League/Champion Clubs' Cup final?(ex. 2023-2024);1969-1970;1970-1971;1970-1971;.;.;.;.;Easy;History;TRUE;;
How many goals did the Greek national team score in its first World Cup appearance?;0;1;0;.;.;.;.;Easy;History;TRUE;;
Which country has the most World Cup titles?;Germany;Brazil;Brazil;.;.;.;.;Easy;History;TRUE;;
What was the most expensive transfer of a Greek football player?;Panagiotis Retsos;Konstantinos Mitroglou;Panagiotis Retsos;.;.;.;.;Easy;History;TRUE;;
Which is the only African national team that has reached the semifinals of the World Cup?;Algeria;Morocco;Morocco;.;.;.;.;Easy;History;TRUE;;
How many titles has PAOK won (both the Greek Super League and the Greek Cup)?;12;11;12;.;.;.;.;Easy;History;TRUE;;
How many Greek Cup titles has Olympiacos won?;27;29;29;.;.;.;.;Easy;History;TRUE;;
When was Iraklis found?;1910;1908;1908;.;.;.;.;Medium;History;TRUE;;
When did Champion Clubs' Cup renamed to Champions League?;1992;1990;1992;.;.;.;.;Medium;History;TRUE;;
How many pentalties were taken in Greek Cup Final Between AEK and Olympiacos in 08/09?;36;34;34;.;.;.;.;Medium;History;TRUE;;
How many teams has won a Greek Super League title?;6;5;6;.;.;.;.;Medium;History;TRUE;;
Who is the player with the most goals in Greek Super League?;Krzysztof Warzycha;Thomas Mavros;Thomas Mavros;.;.;.;.;Medium;History;TRUE;;
When was the European Cup (Champions Cup) held for the first time?;1955-1956;1956-1957;1955-1956;.;.;.;.;Medium;History;TRUE;;
Which team won the first European Cup (Champions Cup) that was held?;Stade de Reims;Real Madrid;Real Madrid;.;.;.;.;Medium;History;TRUE;;
Which country's teams have won the most European titles (Champions League, Europa League, and Conference League)?;Spain;Italy;Spain;.;.;.;.;Medium;History;TRUE;;
Who is the player with the most goals in World Cup?;Klose;Ronaldo;Klose;.;.;.;.;Medium;History;TRUE;;
Which team was founded first in England?;Hallam;Sheffield;Sheffield;.;.;.;.;Medium;History;TRUE;;
Which team has the most losses in Champions League/Champions Cup final?;Juventus;Bayern Munich;Juventus;.;.;.;.;Medium;History;TRUE;;
Which is the only Asian national team that has reached the semifinals of the World Cup?;Japan;South Korea;South Korea;.;.;.;.;Medium;History;TRUE;;
When Larisa won the Super League title?(ex. 2023-2024);1987-1988;1988-1989;1987-1988;.;.;.;.;Hard;History;TRUE;;
How many Doubles has Panathinaikos won?;7;8;8;.;.;.;.;Hard;History;TRUE;;
When was Panserraikos  found?;1964;1963;1964 ;.;.;.;.;Hard;History;TRUE;;
Which team, apart from those from Thessaloniki and Athens, has the most appearances in the Super League?;Panserraikos;OFI;OFI;.;.;.;.;Hard;History;TRUE;;
Which team won the first Champions League after it was renamed from the European Cup?;Marseille;Milan;Marseille;.;.;.;.;Hard;History;TRUE;;
Which country won the first World Cup that was held?;Argentina;Uruguay;Uruguay;.;.;.;.;Hard;History;TRUE;;
How many national teams has won World Cup, while hosting it?;6;5;6;.;.;.;.;Hard;History;TRUE;;
Which team won the first Europa League after it was renamed from the UEFA Cup?;Porto;Atletico Madrid;Atletico Madrid;.;.;.;.;Hard;History;TRUE;;
Which team has won the most Copa Libertadores titles?;Independiente;Boca Juniors;Independiente;.;.;.;.;Hard;History;TRUE;;
Teams from how many different countries have won the Champions League?;9;10;10;.;.;.;.;Hard;History;TRUE;;
How many pentalties were missed in Greek Cup Final Between AEK and Olympiacos in 08/09?;5;7;5;.;.;.;.;Hard;History;TRUE;;
Where is Levi Garcia from?;Martinique;Trinidad and Tobago;Trinidad and Tobago;.;.;.;.;Easy;Geography;TRUE;;
Where is Stadio Olimpico located?;Italy;Germany;Italy;.;.;.;.;Easy;Geography;TRUE;;
In which country's championship does the team Guimaraes participate?;Brazil;Portugal;Portugal;.;.;.;.;Easy;Geography;TRUE;;
In which country's championship does the team Independiente participate?;Argentina;Uruguay;Argentina;.;.;.;.;Easy;Geography;TRUE;;
What is the stadium of Valencia?;Sanchez Pizjuan;Mestalla;Mestalla;.;.;.;.;Easy;Geography;TRUE;;
In which country was the last team that Higuaín played for?;USA;Argentina;USA;.;.;.;.;Easy;Geography;TRUE;;
Where was 2010 World Cup located?;South Korea;South Arica;South Africa;.;.;.;.;Easy;Geography;TRUE;;
In which country's championship does the team Nordsjaelland participate?;Denmark;Sweden;Denmark;.;.;.;.;Easy;Geography;TRUE;;
What is Benzema's second nationality?;Tunisian;Algerian;Algerian;.;.;.;.;Easy;Geography;TRUE;;
In which city does the team Real Betis play?;Sevilla;Malaga;Sevilla;.;.;.;.;Easy;Geography;TRUE;;
What is Khedira's second nationality?;Moroccan;Tunisian;Tunisian;.;.;.;.;Medium;Geography;TRUE;;
Where is Allianz Stadium located?;Italy;Germany;Italy;.;.;.;.;Medium;Geography;TRUE;;
What is Podolski's second nationality?;Russian;Polish;Polish;.;.;.;.;Medium;Geography;TRUE;;
In how many different countries has Kostas Mitroglou played?;7;6;7;.;.;.;.;Medium;Geography;TRUE;;
In how many different countries has Teofanis Gekas played?;5;6;6;.;.;.;.;Medium;Geography;TRUE;;
Which country held 2006 World Cup?;Germany;South Korea;Germany;.;.;.;.;Medium;Geography;TRUE;;
In which country's championship does the team Go Ahead Eagle participate?;England;Netherlands;Netherlands;.;.;.;.;Medium;Geography;TRUE;;
Where is Stadio Molineux Stadium located?;England;France;England;.;.;.;.;Medium;Geography;TRUE;;
In which country does the Derby della Capitale take place?;Spain;Italy;Italy;.;.;.;.;Medium;Geography;TRUE;;
What is Gonzalo Higuaín's second nationality?;French;Italian;French;.;.;.;.;Medium;Geography;TRUE;;
In which city did the first Champions League final take place?;London;Paris;Paris;.;.;.;.;Hard;Geography;TRUE;;
Where was held the first World Cup in 1930?;Uruguay;Italy;Uruguay;.;.;.;.;Hard;Geography;TRUE;;
In which country is the stadium with the largest capacity located?;Australia;North Korea;North Korea;.;.;.;.;Hard;Geography;TRUE;;
Where was the first World Cup held, that Greece took place?;USA;France;USA;.;.;.;.;Hard;Geography;TRUE;;
What is Kylian Mbappé's second nationality?;Nigeria;Cameroon;Cameroon;.;.;.;.;Hard;Geography;TRUE;;
In which city Erling Haaland was born?;Leeds;Manchester;Leeds;.;.;.;.;Hard;Geography;TRUE;;
Where is Stadio Riazor located?;Colombia;Spain;Spain;.;.;.;.;Hard;Geography;TRUE;;
Where is Stadium of Light located?;England;USA;England;.;.;.;.;Hard;Geography;TRUE;;
In which country's championship does the team Huracan participate?;Colombia;Argentina;Argentina;.;.;.;.;Hard;Geography;TRUE;;
In which country's championship does the team Palestino participate?;Chile;Uruguay;Chile;.;.;.;.;Hard;Geography;TRUE;;
What team does Dua Lipa support?;Manchester United;Liverpool;Liverpool;.;.;.;.;Medium;Gossip;TRUE;;
What team does Ed Sheeran support?;Ipswich;Stoke;Ipswich;.;.;.;.;Medium;Gossip;TRUE;;
What team does Prince William support?;West Ham;Aston Villa;Aston Villa;.;.;.;.;Medium;Gossip;TRUE;;
What team did queen Elizabeth support?;Arsenal;Tottenham;Arsenal;.;.;.;.;Medium;Gossip;TRUE;;
Which player said that he smokes and drinks 3 red bull per day?;Balotelli;Jamie Vardy;Jamie Vardy;.;.;.;.;Medium;Gossip;TRUE;;
Which stricker was banned for betting on hisself?;Ivan Toney;Jamie Vardy;Ivan Toney;.;.;.;.;Medium;Gossip;TRUE;;
To whom did Luis Suarez refuse to shake hands before the start of the Liverpool vs. Manchester United match?;Rio Ferdinand;Patrice Evra;Patrice Evra;.;.;.;.;Medium;Gossip;TRUE;;
Which footballer has appeared the most times on the cover of FIFA?;Wayne Rooney;Lionel Messi;Wayne Rooney;.;.;.;.;Medium;Gossip;TRUE;;
Which footballer has appeared the most times on the cover of PES?;Cristiano Ronaldo;Lionel Messi;Lionel Messi;.;.;.;.;Medium;Gossip;TRUE;;
Which footballer had an issue with the police in Mykonos and tried to escape?;Harry Maguire;Jack Grealish;Harry Maguire;.;.;.;.;Medium;Gossip;TRUE;;
Which Belgian footballer had sex with Kevin De Bruyne's wife?;Romelu Lukaku;Thibaut Courtois;Thibaut Courtois;.;.;.;.;Medium;Gossip;TRUE;;
Which player is rumored to be using baby oil to slip away from opponents?;Adama Traoré;Neymar;Adama Traoré;.;.;.;.;Medium;Gossip;TRUE;;
Which footballer married his wife’s niece?;Hulk ;Neymar;Hulk ;.;.;.;.;Medium;Gossip;TRUE;;
Which footballer is rumored to get injured every year during a specific month to attend his sister's birthday?;Balotelli;Neymar;Neymar;.;.;.;.;Medium;Gossip;TRUE;;
Which player is rumored to come to Greece every Friday to party?;Ronaldinho;Neymar;Ronaldinho;.;.;.;.;Medium;Gossip;TRUE;;
Which famous player was rumored to have paid a witch doctor to curse a rival player ahead of a crucial game?;Kylian Mbappe;Paul Pogba;Paul Pogba;.;.;.;.;Medium;Gossip;TRUE;;
Which footballer was afraid of airplanes and never traveled by them, causing him to miss many away games?;Dennis Bergkamp;Paolo Guerrero;Dennis Bergkamp;.;.;.;.;Medium;Gossip;TRUE;;
Which coach’s daughter was rumored to have flirted with a player from the team her father manages during the team's celebrations after winning the league title?;Carlo Ancelotti;Pep Guardiola;Pep Guardiola;.;.;.;.;Medium;Gossip;TRUE;;
Which player’s son has Diego Maradona as his grandfather and Lionel Messi as his great-grandfather?;Sergio Aguero;Di Maria;Sergio Aguero;.;.;.;.;Medium;Gossip;TRUE;;
Which footballer kicked a ballboy because he did not give him the ball?;Balotelli;Eden Hazard;Eden Hazard;.;.;.;.;Medium;Gossip;TRUE;;
Which football team does Giannis Antetokounmpo have a stake in?;Nashville;Orlando City;Nashville;.;.;.;.;Medium;Gossip;TRUE;;
Who has won more Ballon d'Or trophies, Lionel Messi or Cristiano Ronaldo?;.;.;Lionel Messi;.;.;.;.;Easy;Higher Lower;TRUE;;
